iter	Passed	Remaining
665	6283	12585
666	6292	12575
667	6301	12566
668	6310	12555
669	6319	12545
670	6329	12535
671	6337	12524
672	6346	12514
673	6355	12504
674	6365	12494
675	6374	12484
676	6383	12475
677	6392	12465
678	6401	12454
679	6411	12445
680	6420	12434
681	6429	12425
682	6439	12416
683	6448	12406
684	6457	12396
685	6466	12387
686	6476	12377
687	6485	12368
688	6494	12357
689	6503	12347
690	6513	12339
691	6522	12328
692	6531	12318
693	6540	12308
694	6549	12298
695	6559	12289
696	6568	12279
697	6577	12270
698	6587	12260
699	6596	12249
700	6604	12239
701	6614	12229
702	6624	12221
703	6633	12212
704	6642	12201
705	6652	12192
706	6661	12182
707	6670	12172
708	6679	12163
709	6689	12154
710	6698	12143
711	6707	12134
712	6717	12124
713	6726	12115
714	6736	12106
715	6745	12096
716	6754	12085
717	6763	12076
718	6772	12067
719	6782	12057
720	6791	12048
721	6800	12038
722	6810	12028
723	6819	12018
724	6829	12010
725	6839	12002
726	6849	11993
727	6859	11984
728	6868	11975
729	6877	11965
730	6887	11955
731	6896	11946
732	6906	11937
733	6915	11928
734	6925	11919
735	6935	11910
736	6944	11900
737	6953	11891
738	6962	11881
739	6972	11871
740	6982	11862
741	6991	11852
742	7000	11842
743	7009	11833
744	7018	11823
745	7028	11814
746	7037	11803
747	7046	11794
748	7055	11784
749	7064	11774
750	7074	11764
751	7083	11755
752	7092	11744
753	7101	11735
754	7110	11725
755	7119	11715
756	7128	11705
757	7137	11695
758	7147	11685
759	7156	11676
760	7165	11666
761	7174	11656
762	7184	11647
763	7192	11636
764	7202	11626
765	7211	11617
766	7220	11607
767	7229	11598
768	7239	11588
769	7248	11578
770	7257	11568
771	7266	11558
772	7275	11548
773	7284	11539
774	7294	11529
775	7303	11519
776	7311	11509
777	7321	11499
778	7331	11490
779	7340	11480
780	7349	11471
781	7358	11461
782	7367	11451
783	7377	11442
784	7386	11432
785	7396	11423
786	7405	11414
787	7414	11403
788	7423	11393
789	7432	11384
790	7441	11374
791	7451	11364
792	7460	11355
793	7469	11345
794	7478	11336
795	7488	11326
796	7497	11317
797	7507	11308
798	7516	11298
799	7525	11288
800	7534	11278
801	7544	11269
802	7553	11259
803	7562	11250
804	7571	11240
805	7581	11231
806	7590	11221
807	7599	11211
808	7608	11201
809	7618	11192
810	7627	11183
811	7636	11173
812	7646	11163
813	7655	11153
814	7664	11143
815	7673	11134
816	7682	11124
817	7691	11114
818	7701	11104
819	7710	11095
820	7720	11086
821	7728	11076
822	7738	11066
823	7748	11057
824	7757	11049
825	7768	11040
826	7778	11032
827	7787	11023
828	7796	11013
829	7806	11003
830	7815	10994
831	7824	10984
832	7834	10975
833	7843	10965
834	7852	10955
835	7862	10946
836	7870	10936
837	7879	10926
838	7888	10916
839	7897	10906
840	7907	10897
841	7916	10887
842	7925	10877
843	7934	10867
844	7943	10858
845	7953	10849
846	7962	10839
847	7972	10830
848	7981	10820
849	7989	10809
850	7999	10800
851	8008	10790
852	8017	10781
853	8026	10771
854	8036	10762
855	8045	10751
856	8054	10741
857	8063	10732
858	8072	10722
859	8081	10713
860	8091	10703
861	8100	10694
862	8110	10684
863	8119	10675
864	8128	10666
865	8138	10656
866	8147	10647
867	8156	10637
868	8166	10628
869	8175	10619
870	8184	10609
871	8194	10599
872	8203	10590
873	8212	10580
874	8222	10571
875	8232	10563
876	8242	10553
877	8250	10543
878	8260	10534
879	8269	10524
880	8278	10514
881	8287	10504
882	8296	10495
883	8306	10486
884	8316	10477
885	8325	10468
886	8334	10458
887	8344	10448
888	8353	10439
889	8362	10429
890	8371	10419
891	8379	10409
892	8389	10399
893	8398	10390
894	8408	10381
895	8417	10371
896	8426	10361
897	8435	10351
898	8444	10342
899	8453	10332
900	8463	10322
901	8472	10313
902	8481	10303
903	8490	10293
904	8499	10283
905	8508	10274
906	8517	10264
907	8526	10254
908	8535	10244
909	8544	10235
910	8554	10225
911	8563	10216
912	8572	10206
913	8581	10196
914	8590	10186
915	8600	10177
916	8609	10167
917	8618	10158
918	8628	10149
919	8637	10139
920	8646	10130
921	8656	10120
922	8665	10110
923	8674	10101
924	8683	10091
925	8692	10082
926	8701	10072
927	8710	10062
928	8719	10052
929	8728	10042
930	8738	10033
931	8747	10023
932	8756	10013
933	8765	10004
934	8774	9995
935	8784	9985
936	8793	9975
937	8801	9965
938	8811	9955
939	8819	9945
940	8829	9936
941	8837	9926
942	8846	9916
943	8856	9906
944	8865	9897
945	8874	9887
946	8883	9878
947	8892	9868
948	8901	9858
949	8911	9849
950	8920	9839
951	8929	9829
952	8938	9819
953	8948	9811
954	8957	9801
955	8966	9791
956	8975	9782
957	8984	9772
958	8993	9762
959	9002	9752
960	9011	9743
961	9020	9733
962	9030	9724
963	9039	9715
964	9049	9705
